sample-id	Target	Harvest_ID	Block_row_column	Sp_speed	Stress	Speed	Block	Rows	Columns	root_weight	Nucleic_Acid_ngul	Plate_name	Plate_postion	Plate_row	Plate_column	GQ_submission_order	sample_type	greenhouse_compartment	greenhouse_table	Sp_full_name	Sp_abb_name	Sp_Tribe	Sp_Lineage_Walden	Sp_Family	Sp_Guest	Roots	Shoot_.DryWeight	Rainbow	Broken	Flowering	soil_moisture	Missing	Notes_1	Notes_2	Rainbow.batch	barcode	Amplicon_concentation_ngul
116_16S	16S	116	4.2.11	F1	MeJA	Fast	4	2	11	0.3740625	49.9	F1_F2	D3	D	3	20	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.552	0	0	0	normal	0				VAL12505774-D03	25.1
117_16S	16S	117	5.2.17	F1	MeJA	Fast	5	2	17	0.9340625	113.2	F1_F2	E3	E	3	21	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	1.016	0	0	0	normal	0				VAL12505774-E03	24.9
118_16S	16S	118	6.1.4	F1	MeJA	Fast	6	1	4	0.4840625	77	F1_F2	F3	F	3	22	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 1st batch	VAL12505774-F03	25.6
119_16S	16S	119	7.4.3	F1	MeJA	Fast	7	4	3	0.3740625	62.8	F1_F2	G3	G	3	23	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.686	0	0	0	normal	0				VAL12505774-G03	24
120_16S	16S	120	8.3.13	F1	MeJA	Fast	8	3	13	0.4640625	54.9	F1_F2	H3	H	3	24	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.505	0	0	0	normal	0				VAL12505774-H03	22.7
121_16S	16S	121	9.1.6	F1	MeJA	Fast	9	1	6	0.4740625	68.6	F1_F2	A4	A	4	25	rhizoplane	2.1	9_10	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	1	0	normal	0			PPH 1st batch	VAL12505774-A04	26.5
122_16S	16S	122	10.2.10	F1	MeJA	Fast	10	2	10	0.4640625	58.2	F1_F2	B4	B	4	26	rhizoplane	2.1	9_10	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0				VAL12505774-B04	26.5
123_16S	16S	123	11.2.2	F1	MeJA	Fast	11	2	2	0.3540625	72.6	F1_F2	C4	C	4	27	rhizoplane	2.1	11_12	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.75	0	0	0	normal	0				VAL12505774-C04	27
124_16S	16S	124	12.5.1	F1	MeJA	Fast	12	5	1	0.3040625	81.5	F1_F2	D4	D	4	28	rhizoplane	2.1	11_12	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.589	0	0	0	normal	0				VAL12505774-D04	25.1
125_16S	16S	125	13.5.5	F1	MeJA	Fast	13	5	5	0.3540625	116.8	F1_F2	E4	E	4	29	rhizoplane	2.1	13_14	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.791	0	0	0	normal	0				VAL12505774-E04	25.9
126_16S	16S	126	14.4.8	F1	MeJA	Fast	14	4	8	0.3140625	85.7	F1_F2	F4	F	4	30	rhizoplane	2.1	13_14	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0				VAL12505774-F04	26.4
127_16S	16S	127	15.5.14	F1	MeJA	Fast	15	5	14	1.1240625	54.7	F1_F2	G4	G	4	31	rhizoplane	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.716	0	0	0	normal	0				VAL12505774-G04	23.2
128_16S	16S	128	16.2.7	F1	MeJA	Fast	16	2	7	0.2540625	65.7	F1_F2	H4	H	4	32	rhizoplane	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.685	0	0	0	normal	0				VAL12505774-H04	22.2
129_16S	16S	129	1.4.11	F1	SA	Fast	1	4	11	0.5240625	57.4	F1_F2	A5	A	5	33	rhizoplane	2.12	1_2	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.706	0	1	0	normal	0				VAL12505774-A05	29.6
130_16S	16S	130	2.4.17	F1	SA	Fast	2	4	17	0.5040625	64.5	F1_F2	B5	B	5	34	rhizoplane	2.12	1_2	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.722	0	0	0	normal	0				VAL12505774-B05	28.7
131_16S	16S	131	3.4.16	F1	SA	Fast	3	4	16	0.6240625	71.7	F1_F2	C5	C	5	35	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	1.041	0	0	0	normal	0				VAL12505774-C05	27
132_16S	16S	132	4.4.7	F1	SA	Fast	4	4	7	0.4640625	70.7	F1_F2	D5	D	5	36	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.746	0	1	0	normal	0				VAL12505774-D05	26.9
133_16S	16S	133	5.2.15	F1	SA	Fast	5	2	15	0.6640625	122.1	F1_F2	E5	E	5	37	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.885	0	0	0	normal	0				VAL12505774-E05	28.5
134_16S	16S	134	6.4.5	F1	SA	Fast	6	4	5	0.4540625	83.7	F1_F2	F5	F	5	38	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0				VAL12505774-F05	28.4
135_16S	16S	135	7.3.12	F1	SA	Fast	7	3	12	0.5840625	86.4	F1_F2	G5	G	5	39	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	1.12	0	1	0	normal	0				VAL12505774-G05	27.7
136_16S	16S	136	8.6.3	F1	SA	Fast	8	6	3	0.8440625	78	F1_F2	H5	H	5	40	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.75	0	0	0	normal	0			PPH 1st batch	VAL12505774-H05	24.8
137_16S	16S	137	9.6.13	F1	SA	Fast	9	6	13	0.3040625	106	F1_F2	A6	A	6	41	rhizoplane	2.1	9_10	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 1st batch	VAL12505774-A06	29.3
