DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	DF6_LFC_MeJA-SA_Heatmap
COLOR	#ff0000
FIELD_LABELS	LFC_average_MeJA	LFC_average_SA
SHOW_INTERNAL	0
MARGIN	0
STRIP_WIDTH	25
COLOR_NAN	#FFFFFF
COLOR_MIN	#2166AC
COLOR_MID	#ebeceb
COLOR_MAX	#B2182B
USER_MID_VALUE	0
FIELD_TREE	(LFC_average_MeJA:1.411770909,LFC_average_SA:1.411770909);
SHOW_TREE	0
USE_MID_COLOR	1
DATA
bASV_240	-0.0799989712837996	0.0183885092723256
bASV_1265	-0.237482754623982	X
bASV_1312	0.0589987943631087	-0.0490556993537391
bASV_767	0.388961692683728	X
bASV_2824	X	-0.0994969420399362
bASV_856	-0.279008041844748	X
bASV_2220	X	-0.0696099557619726
bASV_171	X	-0.135354921646712
bASV_648	-0.0908357850655453	X
bASV_234	X	0.0207275952537181
bASV_254	X	-0.0191340501293899
bASV_299	-0.214310868327807	X
bASV_294	-0.089458429723717	X
bASV_2237	0.00833889961446909	X
bASV_168	X	-0.250886252597228
bASV_292	X	-0.296265599150736
bASV_1511	-0.225738732267224	X
bASV_491	X	-0.423784332782664
bASV_138	-0.119504979736259	X
bASV_391	-0.219295007247482	-0.118471886038658
bASV_12	0.130994081820064	0.0319279000551546
bASV_41	0.110982102036384	0.141113294110671
bASV_52	X	0.293159362589377
bASV_82	0.206338696014211	0.141449904860407
bASV_932	0.542688691125136	X
bASV_55	X	0.290986360032868
bASV_1846	X	0.252410055906618
bASV_458	X	0.105930958336099
bASV_2045	X	-0.128425405561578
bASV_3223	X	0.164482786382166
bASV_43	X	-0.00111016215014711
bASV_215	-0.184593683747995	X
bASV_121	X	0.24069441164136
bASV_1177	X	0.020550865441753
bASV_480	0.381081638515672	X
bASV_527	-0.360029046345997	X
bASV_840	X	0.0717059366953978
bASV_726	X	0.0144285538156239
bASV_735	X	-0.0334455250566772
bASV_1034	-0.191040262970017	X
bASV_1627	X	-0.0857404189129802
bASV_9	X	0.136171802617495
bASV_23	X	0.175887187712087
bASV_448	X	0.153648464618879
bASV_39	0.150034956800609	0.15434574032277
bASV_108	X	0.152656165130907
bASV_429	X	0.206714564519323
bASV_793	0.301947395750003	X
bASV_123	-0.0356194108746425	X
bASV_102	0.139429032391341	0.0181455097981466
bASV_242	0.256900395031966	0.108325263677793
bASV_486	0.128372746001537	X
bASV_109	0.306179104918742	X
bASV_169	X	0.0867113937942738
bASV_354	X	0.179811783320147
bASV_812	X	-0.25205791094376
bASV_1098	0.183338637442773	X
bASV_1635	X	-0.0228569548634099
bASV_87	X	-0.0464657802821448
bASV_564	X	-0.0446197189700224
bASV_628	0.0242518963111639	X
bASV_154	X	-0.0902513037014407
bASV_358	X	0.131796532443641
bASV_553	X	0.014758369851369
bASV_64	-0.0331148690666328	0.00514925988034235
bASV_203	X	0.0403054456051756
bASV_443	-0.0638814433520661	-0.0679746135996396
bASV_270	X	0.0386773368325764
bASV_433	0.0711950357784968	X
bASV_597	0.0956262524276222	X
bASV_688	0.225364188825927	0.139907209733808
bASV_1131	X	0.0162191767119577
bASV_816	-0.00590888593311911	X
bASV_2190	-0.0259561684214643	X
