DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	DF7_LFC_MeJA-SA_Heatmap_ancombc
COLOR	#ff0000
FIELD_LABELS	StressMeJA_ancombc	StressSA_ancombc
SHOW_INTERNAL	0
MARGIN	0
STRIP_WIDTH	25
COLOR_NAN	#FFFFFF
COLOR_MIN	#2986cc
COLOR_MID	#ebeceb
COLOR_MAX	#ff0000
USER_MID_VALUE	0
FIELD_TREE	(StressMeJA_ancombc:1.256544214,StressSA_ancombc:1.256544214);
SHOW_TREE	0
USE_MID_COLOR	1
DATA
bASV_7	0.0873745763782184	0.375436780313141
bASV_33	0.186191479560298	0.144744295777762
bASV_1526	-0.0389968924005851	-0.0111586927898939
bASV_14	-0.0728373036421695	-0.00526501415929713
bASV_314	-0.363515476173014	-0.187205428502094
bASV_507	0.305469465328192	0.335456886684034
bASV_105	-0.0779622804987667	0.0098834845486444
bASV_34	0.0529281337552154	0.48985423524353
bASV_2235	0.0906725349655336	0.185681566859638
bASV_3132	0.0683579916809848	0.137069057926155
bASV_68	0.0330245582732858	0.0358255285192133
bASV_470	0.119456891197418	0.40569713139725
bASV_989	0.251680933036073	0.171445015101962
bASV_1718	-0.263231708395269	-0.192767483605965
bASV_2069	0.230097880446692	0.129685365101139
bASV_224	0.18842177152876	0.0317528911975454
bASV_37	-0.0497971700328504	0.0560830695810903
bASV_888	-0.197743833141317	-0.214283481928906
bASV_95	0.296697107099462	0.207115352271333
bASV_5526	0.00556599257300057	-0.00628112896209549
bASV_85	0.0127893959808353	0.117855796049606
bASV_1348	0.0328859788026989	0.0747884720081915
bASV_81	-0.0638401286587222	-0.0181450717633205
bASV_143	-0.133886041583226	-0.140112452439113
bASV_46	-0.101107985908302	-0.104836491627115
bASV_58	-0.155222270204319	0.0599848514568631
bASV_277	-0.105371290132792	-0.160195934490561
bASV_175	-0.133411278660386	0.0756811806388064
bASV_4654	-0.0724531072804272	-0.0947084247202831
bASV_255	-0.307310627074925	-0.218891075373288
bASV_72	-0.272958489160667	-0.0466430854878012
bASV_104	-0.108072839058561	-0.232446418721747
bASV_453	0.142106027229209	0.372160199284129
bASV_3347	0.0941491406835792	-0.199590630035481
bASV_16	-0.0965520882061814	0.00378816507847312
bASV_51	-0.164154034055807	0.134825720728657
bASV_94	0.145144114298489	0.414400450223195
bASV_300	0.0853193658540438	0.265740406347971
bASV_308	-0.107116585728064	0.239424555936872
bASV_32	-0.01336386454562	0.0779566446228397
bASV_153	0.021852326014664	0.31554463853963
bASV_65	0.0236487290629603	0.236313137705242
bASV_79	-0.119675979033482	0.348524734307524
bASV_75	-0.0131041784434007	0.290126920201588
bASV_274	-0.0492741425990759	0.113748558837069
bASV_119	0.0667924159414419	0.318988910534693
bASV_529	-0.0516360585997367	0.0770749555452948
bASV_302	0.0216506527308272	0.243014500703072
bASV_3328	-0.163096924827945	-0.0287649967416109
bASV_999	-0.0104520007874344	0.0612028207466488
bASV_390	0.0052565288232117	0.21480346036903
bASV_40	0.0603850100993658	0.184047845773291
bASV_35	-0.166610794860256	0.218740808431453
bASV_25	0.0117027660676125	0.223022205921322
bASV_328	-0.0967337394849465	0.216823182531208
bASV_336	-0.114353979679054	0.104655446446367
bASV_485	-0.0194586091749019	0.229103755988579
bASV_1801	-0.0975674337138891	-0.0833399061674062
bASV_112	-0.0750626833204414	0.0784980744021206
bASV_663	-0.198804648496759	0.101517987097925
bASV_117	0.132766555188229	0.434022678418815
bASV_134	0.0587445464126478	0.132085586253149
bASV_349	0.140256459016361	-0.00708209041049622
bASV_540	-0.133858665449977	0.24143245073975
bASV_1553	-0.00958862014433078	0.100194476835998
bASV_400	0.204021268536925	0.127753675116724
bASV_469	0.152732636774084	0.0678720521135524
bASV_820	-0.0259945361908094	-0.129853715143259
bASV_2856	0.0206554122514006	-0.0259090857444338
bASV_716	-0.196781528622547	-0.116158740952637
bASV_1423	-0.144324597436596	-0.105648252068998
bASV_44	-0.0172784919402399	-0.072336526963874
bASV_322	-0.0914558419643486	0.0309948013988571
bASV_3893	-0.0277687665822417	-0.100653801204936
bASV_12691	-0.00743232037046799	-0.0973745088403857
bASV_838	0.0394407709544482	-0.131013846989786
bASV_986	0.11745058786636	0.165599799046569
bASV_1027	0.0163894627615987	0.0429918536655276
bASV_126	-0.0751170500160683	-0.0712658205213199
bASV_8783	-0.0118288908779402	-0.0277974059197718
bASV_80	0.0974354984443969	-0.00245181880150012
bASV_96	-0.132443231518986	0.0125518668895983
bASV_490	-0.213828382885482	-0.125007846576258
bASV_99	-0.0150998829763235	-0.155178369596088
bASV_11	0.0409794577962463	0.124141332405842
bASV_14164	0.0218268064736832	0.042345160332939
bASV_78	-0.0938269097051219	0.107700148241773
bASV_190	0.257200822979948	-0.184646626391023
bASV_393	-0.333522403754819	-0.0933460747357143
bASV_766	0.293011727347673	0.0505303216462041
bASV_21	-0.0298832296507414	0.002131796258269
bASV_62	-0.190717477661056	-0.14804915619444
bASV_611	-0.273436988877382	-0.280822105434661
bASV_572	-0.127155425925182	-0.199997964064676
bASV_60	0.0780251013325989	0.0218892691425363
bASV_262	0.0742783353026208	0.0893419629820484
bASV_187	-0.0777796910948592	-0.0634128704018654
